Node,AverageAttackRate,Rank,degree_centrality,betweenness_centrality
79,0.00928,1,0.01001001001001001,0.002352148826152779
94,0.00928,2,0.01001001001001001,0.0023728877235092965
862,0.00928,3,0.01001001001001001,0.0024742663280050625
243,0.00928,4,0.01001001001001001,0.002392636402398804
593,0.00928,5,0.01001001001001001,0.0023840133252482445
592,0.00928,6,0.01001001001001001,0.002461258934364862
584,0.00928,7,0.01001001001001001,0.002410980197971537
979,0.00928,8,0.01001001001001001,0.002430580702471806
718,0.00928,9,0.01001001001001001,0.002410565918372074
268,0.00928,10,0.01001001001001001,0.0024544359867485805
872,0.009279,11,0.01001001001001001,0.0023591805270556775
84,0.009279,12,0.01001001001001001,0.0024617111434258
102,0.009279,13,0.01001001001001001,0.002412257937691654
133,0.009279,14,0.01001001001001001,0.002387305603162547
146,0.009279,15,0.01001001001001001,0.002349249812644465
119,0.009279,16,0.01001001001001001,0.0024094153688162365
547,0.009279,17,0.01001001001001001,0.0024423887370367834
523,0.009279,18,0.01001001001001001,0.0024628893647498265
489,0.009279,19,0.01001001001001001,0.0024018692740578923
67,0.009279,20,0.01001001001001001,0.002443121366754574
950,0.009279,21,0.01001001001001001,0.002363814412556494
52,0.009279,22,0.01001001001001001,0.002445639798688994
432,0.009279,23,0.01001001001001001,0.0024394110930308845
372,0.009279,24,0.01001001001001001,0.0024026447613384023
383,0.009279,25,0.01001001001001001,0.0023895444224435822
820,0.009279,26,0.01001001001001001,0.002375991269596605
831,0.009279,27,0.01001001001001001,0.0023077269204806565
139,0.009279,28,0.01001001001001001,0.00247430656303084
571,0.009279,29,0.01001001001001001,0.0024464960209570658
193,0.009279,30,0.01001001001001001,0.002488037098276773
564,0.009279,31,0.01001001001001001,0.002451200246177056
775,0.009279,32,0.01001001001001001,0.0024257001885235104
804,0.009279,33,0.01001001001001001,0.0023678841831066186
795,0.009279,34,0.01001001001001001,0.0024953798496289165
563,0.009279,35,0.01001001001001001,0.002432650874405584
557,0.009279,36,0.01001001001001001,0.002450428838629166
196,0.009279,37,0.01001001001001001,0.002447691483659845
429,0.009279,38,0.01001001001001001,0.0024454363924420637
239,0.009279,39,0.01001001001001001,0.002392123559458605
581,0.009279,40,0.01001001001001001,0.0023758299013577826
211,0.009279,41,0.01001001001001001,0.0023878840923496547
347,0.009279,42,0.01001001001001001,0.0024967614569185816
761,0.009279,43,0.01001001001001001,0.0024787945973873153
311,0.009279,44,0.01001001001001001,0.0024753933012321948
298,0.009279,45,0.01001001001001001,0.0023426408390924028
199,0.009279,46,0.01001001001001001,0.002386679665252664
741,0.009279,47,0.01001001001001001,0.0024102765388100762
336,0.009279,48,0.01001001001001001,0.0024144419292079686
849,0.009279,49,0.01001001001001001,0.002261374765979594
837,0.009279,50,0.01001001001001001,0.0025011817510499847
850,0.009279,51,0.01001001001001001,0.002383491039342265
114,0.009279,52,0.01001001001001001,0.0023804315308088584
121,0.009279,53,0.01001001001001001,0.0024455763180790463
113,0.009279,54,0.01001001001001001,0.0024091732991679566
68,0.009279,55,0.01001001001001001,0.00240719402676403
620,0.009279,56,0.01001001001001001,0.002378407775347062
758,0.009279,57,0.01001001001001001,0.0023347150264291655
644,0.009279,58,0.01001001001001001,0.0024174078910021014
671,0.009279,59,0.01001001001001001,0.002389654031310379
676,0.009279,60,0.01001001001001001,0.0023737713206135823
675,0.009279,61,0.01001001001001001,0.002248068730448063
267,0.009279,62,0.01001001001001001,0.0023632340345698635
724,0.009279,63,0.01001001001001001,0.002300004306249655
682,0.009279,64,0.01001001001001001,0.0023716333828156153
441,0.009279,65,0.01001001001001001,0.0024658303141203287
680,0.009279,66,0.01001001001001001,0.0023787031313548096
991,0.009279,67,0.01001001001001001,0.0023431875724179083
447,0.009279,68,0.01001001001001001,0.0024022473559083494
461,0.009279,69,0.01001001001001001,0.002276931327800733
